           tr  hp   wt  mpg
MazdaRX4    1 110 2620 21.0
MazdaRX4W   1 110 2875 21.0
Datsun710   1  93 2320 22.8
Hornet4D    0 110 3215 21.4
HornetS     0 175 3440 18.7
Valiant     0 105 3460 18.1
Duster360   0 245 3570 14.3
Merc240D    0  62 3190 24.4
Merc230     0  95 3150 22.8
Merc280     0 123 3440 19.2
Merc280C    0 123 3440 17.8
Merc450SE   0 180 4070 16.4
Merc450SL   0 180 3730 17.3
Merc450SLC  0 180 3780 15.2
CadillacF   0 205 5250 10.4
LincolnC    0 215 5425 10.4
Imperial    0 230 5345 14.7
Fiat128     1  66 2200 32.4
HondaC      1  52 1615 30.4
ToyotaCL    1  65 1835 33.9
ToyotoCN    0  97 2465 21.5
DodgeC      0 150 3520 15.5
AMCJav      0 150 3435 15.2
ChevC       0 245 3840 13.3
PontiacF    0 175 3845 19.2
FiatX19     1  66 1935 27.3
Porsche914  1  91 2140 26.0
LotusE      1 113 1513 30.4
FordPL      1 264 3170 15.8
FerrariD    1 175 2770 19.7
MaseratiB   1 335 3570 15.0
Volvo142E   1 109 2780 21.4
