grain  de      se
 1    0.15    0.45
 2    0.24    0.81
 3    0.29    0.47
 4    0.29    0.47
 5    0.32    0.13
 6    0.32    0.26
 7    0.45    0.25
 8    0.46    0.05
 9    0.47    0.14
10    0.47    0.08
11    0.49    0.22
12    0.49    0.12
13    0.50    0.31
14    0.50    0.05
15    0.50    0.16
16    0.51    0.21
17    0.51    0.12
18    0.53    0.07
19    0.53    0.38
20    0.54    0.17
21    0.54    0.34
22    0.54    0.35
23    0.55    0.13
24    0.55    0.14
25    0.55    0.17
26    0.57    0.07
27    0.57    0.16
28    0.58    0.43
29    0.58    0.20
30    0.58    0.09
31    0.59    0.60
32    0.59    0.29
33    0.60    0.17
34    0.60    0.12
35    0.62    0.22
36    0.62    0.24
37    0.63    0.26
38    0.63    0.08
39    0.66    0.75
40    0.66    0.60
41    0.66    0.24
42    0.67    0.13
43    0.68    0.20
44    0.68    0.16
45    0.68    0.98
46    0.70    0.35
47    0.72    0.80
48    0.72    0.18
49    0.74    0.26
50    0.75    0.20
51    0.75    0.18
52    0.79    0.56
53    0.80    0.26
54    0.80    0.21
55    0.81    0.20
56    0.85    0.28
57    0.85    0.37
58    0.87    0.10
59    0.91    0.22
60    0.96    0.22
61    0.97    0.37
62    0.97    0.69
63    1.00    0.55
64    1.01    0.56
65    1.04    0.42
66    1.04    0.89
67    1.05    0.13
68    1.08    0.08
69    1.09    0.29
70    1.19    0.76
71    1.23    0.54
72    1.25    0.92
73    1.29    0.21
74    1.29    0.41
75    1.37    0.14
76    1.40    0.25
77    1.46    0.89
78    1.50    0.24
79    1.56    0.16
80    2.53    1.00
81    2.70    1.01           
82    3.63    0.50
