Year Storms Typhoons Intense
1959 23 17 NA
1960 27 19 NA
1961 27 20 NA
1962 30 23 NA
1963 25 19 NA
1964 39 26 NA
1965 35 21 NA
1966 30 20 NA
1967 35 20 NA
1968 27 20 NA
1969 19 13 NA
1970 24 12 NA
1971 35 24 NA
1972 30 22 16
1973 21 12  4
1974 32 16  3
1975 20 14  5
1976 25 14  9
1977 19 11  4
1978 28 15  3
1979 23 14  8
1980 24 15  9
1981 28 16  6
1982 26 19 12
1983 23 12  6
1984 27 16  9
1985 26 17  6
1986 28 19  8
1987 24 18 12
1988 25 13  7
1989 31 21  9
1990 30 21  8
1991 29 20 11
1992 32 23 12
1993 30 21 10
1994 34 20 12
1995 26 14  7
1996 33 21 10
1997 31 23 12
1998 17  9  4
1999 24 11  4
2000 28 14  7
