Year N3.m01 N3.m02 N3.m03 N3.m04 N3.m05 N3.m06 N3.m07 N3.m08 N3.m09 N3.m10 N3.m11 N3.m12
1856  0.584  0.656  0.523  0.461  0.533  0.479  0.452  0.399  0.323  0.041 -0.321 -0.663
1857 -0.514 -0.550 -0.594 -0.449 -0.424 -0.353 -0.383 -0.438 -0.266 -0.404 -0.368 -0.115
1858 -0.007 -0.052 -0.180 -0.269 -0.190 -0.083 -0.039  0.036 -0.053 -0.124 -0.196 -0.390
1859 -0.427 -0.226 -0.080 -0.173  0.048  0.066  0.173  0.124 -0.025 -0.077 -0.191 -0.321
1860 -0.706 -0.888 -0.879 -0.872 -0.692 -0.487 -0.391 -0.390 -0.416 -0.443 -0.791 -0.746
1861 -0.511 -0.397 -0.593 -0.539 -0.561 -0.506 -0.416 -0.544 -0.663 -0.595 -0.573 -0.439
1862 -0.438 -0.254  0.025  0.218  0.436  0.267  0.231  0.064 -0.357 -0.678 -1.045 -0.766
1863 -0.472 -0.244 -0.216 -0.092 -0.038 -0.046  0.077  0.270  0.211  0.227  0.163  0.153
1864 -0.037 -0.028  0.000  0.141  0.269  0.236  0.587  0.973  0.996  1.057  0.948  0.905
1865  0.827  0.817  0.675  0.688  0.674  0.680  0.835  0.813  0.870  0.983  1.060  1.171
1866  1.297  1.218  1.155  1.055  1.190  1.287  1.169  1.009  0.807  0.711  0.706  0.638
1867  0.780  0.810  0.915  0.929  1.110  1.191  0.993  0.834  0.796  0.567  0.415  0.494
1868  0.464  0.432  0.360  0.267  0.468  0.519  0.540  0.703  1.089  1.311  1.615  1.452
1869  1.126  0.760  0.393  0.180 -0.031 -0.194 -0.301 -0.703 -1.221 -0.879 -0.797 -0.801
1870 -0.965 -0.748 -0.434 -0.215 -0.374 -0.519 -0.670 -0.709 -0.690 -0.842 -0.934 -0.564
1871 -0.358 -0.292 -0.144 -0.150 -0.274 -0.372 -0.272 -0.338 -0.176 -0.052 -0.005 -0.219
1872 -0.507 -0.533 -0.547 -0.599 -0.654 -0.589 -0.515 -0.622 -1.006 -0.924 -0.869 -0.783
1873 -0.732 -0.848 -0.830 -0.696 -0.447 -0.331 -0.152 -0.393 -0.358 -0.643 -1.022 -1.158
1874 -0.977 -1.095 -0.969 -0.838 -0.749 -0.740 -0.853 -1.169 -1.008 -1.028 -1.241 -0.786
1875 -0.500 -0.772 -0.469 -0.750 -0.611 -0.596 -0.415 -0.710 -0.588 -0.880 -0.797 -0.642
1876 -0.943 -0.987 -0.953 -0.944 -0.489 -0.259 -0.023 -0.039 -0.065  0.462  0.442  0.396
1877  0.693  0.644  0.783  1.153  1.144  1.700  1.855  2.149  2.493  2.532  2.617  2.768
1878  2.706  2.490  2.063  1.616  1.422  1.188  0.876  0.431 -0.080 -0.345 -0.330 -0.377
1879 -0.085  0.126 -0.037 -0.051 -0.065 -0.212 -0.341 -0.776 -0.524 -0.538 -0.657 -0.976
1880 -1.141 -0.362 -0.169 -0.082 -0.121 -0.234 -0.407 -0.107  0.198  0.477  0.357  0.441
1881  0.424  0.299  0.314  0.411  0.319  0.120 -0.039  0.093  0.010 -0.122 -0.325 -0.372
1882 -0.437 -0.397 -0.257 -0.187 -0.311 -0.772 -0.915 -0.693 -0.392 -0.596 -0.711 -0.632
1883 -0.595 -0.470 -0.059  0.132  0.139  0.185  0.232  0.211  0.089 -0.102  0.052 -0.173
1884 -0.272 -0.246  0.101  0.518  0.464  0.262  0.292  0.468  0.428  0.761  0.752  0.873
1885  0.725  0.295  0.420  0.379  0.168  0.133 -0.040  0.174  0.565  0.736  0.788  0.639
1886  0.071 -0.407 -0.307 -0.334 -0.529 -0.958 -0.932 -0.866 -0.660 -0.944 -0.913 -1.123
1887 -0.929 -0.867 -0.669 -0.562 -0.148 -0.019 -0.004 -0.327 -0.013  0.003  0.202  0.292
1888  0.508  0.672  0.588  0.478  0.872  0.866  0.896  0.929  1.492  1.801  1.976  2.133
1889  2.080  1.609  1.285  0.975  0.725  0.214 -0.273 -0.948 -0.734 -1.058 -1.150 -1.108
1890 -1.387 -0.844 -0.843 -0.557 -0.442 -0.573 -0.624 -0.691 -0.631 -0.973 -0.863 -0.223
1891  0.008  0.199  0.152  0.533  0.661  0.602  0.471  0.341 -0.080  0.081  0.160 -0.015
1892  0.017 -0.042 -0.132 -0.377 -0.427 -0.675 -0.822 -0.960 -1.270 -1.720 -1.536 -1.372
1893 -1.338 -1.466 -1.123 -1.090 -1.163 -1.078 -0.874 -0.814 -0.796 -0.802 -0.787 -0.613
1894 -0.722 -0.702 -0.741 -0.545 -0.557 -0.249 -0.123 -0.353 -0.192 -0.308 -0.257 -0.437
1895 -0.295 -0.330 -0.037  0.123  0.208  0.072  0.034  0.191  0.534  0.495  0.803  0.653
1896  0.496  0.400  0.431  0.388  0.362  0.479  0.819  1.330  1.172  1.297  1.749  2.119
1897  1.830  1.488  0.882  0.431  0.212  0.097  0.053 -0.176 -0.034 -0.225 -0.440 -0.396
1898 -0.294 -0.430 -0.491 -0.128 -0.178 -0.238 -0.386 -0.532 -0.488 -0.549 -0.700 -0.716
1899 -0.565 -0.380 -0.110  0.286  0.540  0.605  0.757  1.065  1.128  1.298  1.327  1.540
1900  1.431  1.352  1.038  1.027  0.955  0.851  0.773  0.623  0.496  0.506  0.299  0.506
1901  0.327  0.136 -0.112  0.013 -0.099 -0.242 -0.394 -0.314 -0.281 -0.098 -0.093 -0.002
1902  0.258  0.412  0.491  0.642  0.892  1.180  1.549  1.598  1.634  1.550  1.779  1.555
1903  1.134  0.852  0.590  0.239 -0.022 -0.298 -0.417 -0.493 -0.571 -0.598 -0.773 -0.975
1904 -0.644 -0.428 -0.257  0.011  0.248  0.355  0.629  0.709  0.528  0.707  0.760  0.932
1905  1.019  0.894  1.035  1.164  1.538  1.603  1.506  1.491  1.677  1.575  1.520  1.506
